Ticker;Price;Target Price;P/E;Forward P/E;P/B;PEG;P/FCF;Dividend %;Debt/Eq;Payout;EPS next 5Y;EPS growth next Y;Company;Sector;Industry;Date
APD;285.08;330.00;29.14;22.40;4.48;3.04;-;2.46%;0.66;68.40%;9.60%;11.40%;Air Products and Chemicals, Inc.;Basic Materials;Specialty Chemicals;2023-08-15
ATO;114.98;131.00;19.87;17.79;1.58;2.48;12.81;2.57%;0.63;41.10%;8.00%;6.74%;Atmos Energy Corporation;Utilities;Utilities - Regulated Gas;2023-08-15
BKH;56.09;65.00;15.09;14.60;1.20;2.79;21.57;4.46%;1.44;66.30%;5.40%;2.81%;Black Hills Corporation;Utilities;Utilities - Diversified;2023-08-15
CSCO;53.51;55.65;19.24;13.23;5.17;2.66;12.84;2.92%;0.20;54.40%;7.23%;6.20%;Cisco Systems, Inc.;Technology;Communication Equipment;2023-08-15
CVX;160.34;186.24;10.17;11.40;1.89;-;10.84;3.77%;0.14;37.00%;-7.68%;5.76%;Chevron Corporation;Energy;Oil & Gas Integrated;2023-08-15
EMN;82.62;94.84;14.09;9.94;1.86;1.89;29.77;3.82%;1.03;65.80%;7.45%;23.04%;Eastman Chemical Company;Basic Materials;Specialty Chemicals;2023-08-15
ES;65.08;82.08;19.31;14.00;1.46;2.88;-;4.15%;1.60;77.80%;6.70%;6.26%;Eversource Energy;Utilities;Utilities - Regulated Electric;2023-08-15
HPQ;31.84;30.84;12.08;8.95;-;7.50;13.99;3.30%;-;38.60%;1.61%;5.61%;HP Inc.;Technology;Computer Hardware;2023-08-15
INGR;98.50;122.00;11.49;10.27;1.93;1.00;52.79;3.17%;0.73;32.00%;11.50%;6.55%;Ingredion Incorporated;Consumer Defensive;Packaged Foods;2023-08-15
JPM;150.77;169.66;9.70;10.25;1.56;-;-;2.65%;1.15;25.70%;-4.33%;-7.94%;JPMorgan Chase & Co.;Financial;Banks - Diversified;2023-08-15
LEG;28.35;28.00;16.66;16.56;2.31;3.20;9.72;6.49%;1.21;104.30%;5.20%;11.75%;Leggett & Platt, Incorporated;Consumer Cyclical;Furnishings, Fixtures & Appliances;2023-08-15
MAIN;40.58;43.83;9.18;10.44;1.45;1.15;-;6.80%;0.90;44.80%;8.00%;-5.17%;Main Street Capital Corporation;Financial;Asset Management;2023-08-15
MAN;76.28;82.71;12.99;11.03;1.57;0.39;12.57;3.85%;0.41;47.70%;33.00%;15.61%;ManpowerGroup Inc.;Industrials;Staffing & Employment Services;2023-08-15
MED;90.53;80.00;7.47;11.91;5.31;0.37;4.81;7.29%;0.00;54.00%;20.00%;-10.06%;Medifast, Inc.;Consumer Cyclical;Personal Services;2023-08-15
MMM;101.38;112.96;-;10.42;7.20;-;12.51;5.92%;2.05;58.32%;1.91%;9.56%;3M Company;Industrials;Conglomerates;2023-08-15
MO;43.08;49.44;11.32;8.28;-;3.17;8.95;8.73%;-;98.80%;3.58%;4.27%;Altria Group, Inc.;Consumer Defensive;Tobacco;2023-08-15
NKE;106.28;126.58;32.93;24.16;11.65;2.18;33.66;1.28%;0.64;39.50%;15.10%;17.85%;NIKE, Inc.;Consumer Cyclical;Footwear & Accessories;2023-08-15
NNN;38.95;47.08;19.10;20.08;1.70;1.95;-;5.80%;0.98;107.50%;9.79%;-3.72%;NNN REIT, Inc.;Real Estate;REIT - Retail;2023-08-15
NTAP;76.64;76.05;13.24;12.28;14.14;1.67;18.63;2.61%;2.06;34.00%;7.91%;9.43%;NetApp, Inc.;Technology;Computer Hardware;2023-08-15
O;57.30;69.17;42.63;40.35;1.24;1.88;-;5.35%;0.63;223.30%;22.62%;7.82%;Realty Income Corporation;Real Estate;REIT - Retail;2023-08-15
PFE;35.62;44.21;9.49;10.83;2.03;-;18.69;4.60%;0.66;42.40%;-;0.21%;Pfizer Inc.;Healthcare;Drug Manufacturers - General;2023-08-15
SNY;52.98;64.12;14.08;6.06;1.66;2.02;-;3.59%;0.29;53.27%;6.97%;8.70%;Sanofi;Healthcare;Drug Manufacturers - General;2023-08-15
SON;55.81;64.17;11.43;10.18;2.39;-;16.53;3.65%;1.38;40.30%;-1.41%;4.64%;Sonoco Products Company;Consumer Cyclical;Packaging & Containers;2023-08-15
SWK;93.32;100.32;-;19.98;1.50;-;-;3.47%;0.83;58.90%;17.68%;346.89%;Stanley Black & Decker, Inc.;Industrials;Tools & Accessories;2023-08-15
SWKS;106.71;120.51;16.44;11.85;2.89;1.10;12.02;2.55%;0.25;38.00%;15.00%;7.29%;Skyworks Solutions, Inc.;Technology;Semiconductors;2023-08-15
TSN;53.75;56.43;83.98;16.92;1.01;11.20;189.78;3.57%;0.50;201.60%;7.50%;140.86%;Tyson Foods, Inc.;Consumer Defensive;Farm Products;2023-08-15
UNM;48.97;54.25;6.79;6.25;1.04;0.85;9.60;2.98%;0.37;18.20%;8.00%;1.70%;Unum Group;Financial;Insurance - Life;2023-08-15
USB;37.99;44.33;10.55;8.77;1.26;1.76;4.07;5.05%;0.98;52.80%;6.00%;-2.63%;U.S. Bancorp;Financial;Banks - Regional;2023-08-15
VZ;33.44;40.13;6.69;7.12;1.48;-;11.25;7.81%;1.60;51.90%;-0.54%;-0.47%;Verizon Communications Inc.;Communication Services;Telecom Services;2023-08-15
WBA;28.83;33.53;-;7.41;1.18;-;-;6.66%;0.61;38.21%;-2.15%;-3.02%;Walgreens Boots Alliance, Inc.;Healthcare;Pharmaceutical Retailers;2023-08-15
